product_id,warehouse_stock,reorder_threshold
P0853,218,25
P0854,271,20
P0855,50,20
P0856,173,25
P0857,111,30
P0858,197,15
P0859,205,30
P0860,38,30
P0861,94,30
P0862,81,20
P0863,299,20
P0864,289,30
P0865,54,30
P0866,105,25
P0867,16,15
P0868,150,30
P0869,187,20
P0870,68,30
P0871,57,25
P0872,109,30
P0873,289,15
P0874,148,20
P0875,29,30
P0876,78,25
P0877,33,30
P0878,230,30
P0879,270,25
P0880,90,25
P0881,232,25
P0882,136,20
P0883,248,30
P0884,284,30
P0885,203,25
P0886,165,15
P0887,24,25
P0888,274,30
P0889,247,20
P0890,38,30
P0891,189,30
P0892,119,20
P0893,233,15
P0894,86,30
P0895,270,30
P0896,99,25
P0897,217,15
P0898,256,30
P0899,26,20
P0900,267,25
P0901,240,15
P0902,278,25
P0903,258,30
P0904,220,25
P0905,247,20
P0906,271,15
P0907,260,30
P0908,234,15
P0909,205,20
P0910,165,25
P0911,153,30
P0912,169,30
P0913,35,20
P0914,222,20
P0915,221,30
P0916,79,20
P0917,18,15
P0918,50,30
P0919,127,20
P0920,9,30
P0921,21,15
P0922,103,25
P0923,300,20
P0924,256,15
P0925,189,25
P0926,243,25
P0927,213,20
P0928,206,15
P0929,111,15
P0930,282,30
P0931,43,25
P0932,24,30
P0933,207,30
P0934,141,30
P0935,56,20
P0936,216,20
P0937,14,25
P0938,179,30
P0939,53,30
P0940,217,25
P0941,276,15
P0942,141,25
P0943,10,25
P0944,251,20
P0945,67,30
P0946,70,25
P0947,138,15
P0948,299,15
P0949,203,20
P0950,49,25
P0951,300,30
P0952,233,15
P0953,153,15
P0954,44,25
P0955,233,20
P0956,54,30
P0957,71,25
P0958,212,30
P0959,36,20
P0960,209,25
P0961,22,30
P0962,267,15
P0963,210,30
P0964,36,20
P0965,212,15
P0966,113,25
P0967,90,20
P0968,69,15
P0969,268,30
P0970,132,25
P0971,221,20
P0972,275,30
P0973,73,25
P0974,169,30
P0975,156,30
P0976,22,15
P0977,116,20
P0978,173,25
P0979,208,25
P0980,195,25
P0981,283,15
P0982,11,30
P0983,109,20
P0984,142,25
P0985,168,30
P0986,216,15
P0987,177,25
P0988,166,30
P0989,225,15
P0990,278,20
P0991,18,20
P0992,281,30
P0993,206,30
P0994,271,20
P0995,206,15
P0996,70,30
P0997,232,25
P0998,89,20
P0999,167,20
P1000,253,20
P1001,86,30
P1002,43,25
P1003,195,30
P1004,37,15
P1005,34,20
P1006,94,25
P1007,95,20
P1008,291,25
P1009,204,25
P1010,264,20
P1011,267,25
P1012,93,15
P1013,205,15
P1014,165,30
P1015,53,25
P1016,78,30
P1017,296,15
P1018,219,30
P1019,66,20
P1020,145,25
P1021,178,15
P1022,51,15
P1023,238,25
P1024,128,20
P1025,248,20
P1026,46,15
P1027,271,25
P1028,81,15
P1029,91,25
P1030,232,20
P1031,15,15
P1032,158,25
P1033,231,30
P1034,219,30
P1035,40,15
P1036,292,20
P1037,176,25
P1038,196,25
P1039,199,20
P1040,92,15
P1041,183,20
P1042,144,20
P1043,53,20
P1044,260,25
P1045,22,15
P1046,107,30
P1047,196,25
P1048,252,15
P1049,120,15
P1050,228,25
P1051,41,30
P1052,212,25
P1053,135,15
P1054,127,25
P1055,180,15
P1056,274,25
P1057,14,30
P1058,142,25
P1059,124,30
P1060,183,30
P1061,18,30
P1062,61,30
P1063,237,25
P1064,107,15
P1065,272,30
P1066,199,25
P1067,221,30
P1068,107,20
P1069,171,20
P1070,6,15
P1071,225,15
P1072,256,25
P1073,139,15
P1074,197,25
P1075,130,30
P1076,225,30
P1077,143,30
P1078,284,25
P1079,80,30
P1080,248,25
P1081,292,20
P1082,195,15
P1083,105,20
P1084,149,15
P1085,182,15
P1086,198,15
P1087,281,15
P1088,292,20
P1089,29,25
P1090,291,20
P1091,103,15
P1092,294,15
P1093,297,30
P1094,12,30
P1095,138,15
P1096,174,30
P1097,195,20
P1098,120,30
P1099,95,30
P1100,245,15
P1101,166,15
P1102,117,30
P1103,240,30
P1104,135,20
P1105,101,30
P1106,231,25
P1107,107,15
P1108,129,20
P1109,190,30
P1110,282,30
P1111,180,25
P1112,81,15
P1113,134,20
P1114,179,20
P1115,180,20
P1116,286,20
P1117,100,25
P1118,269,25
P1119,55,25
P1120,45,15
P1121,231,20
P1122,182,30
P1123,268,15
P1124,240,20
P1125,146,20
P1126,259,25
P1127,34,20
P1128,187,25
P1129,81,30
P1130,290,15
P1131,138,30
P1132,29,20
P1133,35,20
P1134,171,20
P1135,178,25
P1136,279,30
P1137,14,30
P1138,37,30
P1139,113,30
P1140,294,20
P1141,266,15
P1142,32,25
P1143,34,15
P1144,180,20
P1145,299,25
P1146,74,30
P1147,232,15
P1148,70,30
P1149,204,15
P1150,236,15
P1151,147,25
P1152,48,25
P1153,116,25
P1154,51,30
P1155,56,30
P1156,155,20
P1157,246,30
P1158,130,30
P1159,66,25
P1160,229,15
P1161,120,15
P1162,218,30
P1163,65,30
P1164,246,30
P1165,171,25
P1166,57,15
P1167,145,30
P1168,275,30
P1169,128,15
P1170,159,20
P1171,247,15
P1172,266,20
P1173,176,20
P1174,13,15
P1175,177,20
P1176,189,25
P1177,236,15
P1178,60,15
P1179,207,20
P1180,224,15
P1181,19,15
P1182,19,20
P1183,154,25
P1184,95,15
P1185,179,25
P1186,26,20
P1187,77,25
P1188,179,30
P1189,144,20
P1190,220,20
P1191,85,30
P1192,92,20
P1193,13,15
P1194,172,30
P1195,218,25
P1196,182,25
P1197,226,30
P1198,215,25
P1199,172,30
P1200,12,25
P1201,165,30
P1202,167,15
P1203,280,20
P1204,66,15
P1205,159,25
P1206,255,25
P1207,252,25
P1208,173,15
P1209,229,25
P1210,9,25
P1211,89,25
P1212,244,20
P1213,206,25
P1214,131,20
P1215,209,25
P1216,19,25
P1217,200,30
P1218,261,15
P1219,21,25
P1220,246,30
P1221,107,15
P1222,107,25
P1223,115,20
P1224,287,25
P1225,286,15
P1226,58,20
P1227,271,20
P1228,178,20
P1229,79,20
P1230,198,30
P1231,149,30
P1232,62,15
P1233,100,15
P1234,271,15
P1235,294,25
P1236,19,20
P1237,194,20
P1238,136,30
P1239,8,25
P1240,263,15
P1241,278,20
P1242,22,25
P1243,173,25
P1244,77,30
P1245,61,20
P1246,54,30
P1247,82,15
P1248,7,20
P1249,166,25
P1250,167,20
P1251,280,15
P1252,99,20
P1253,223,30
P1254,245,25
P1255,159,20
P1256,140,25
P1257,284,20
P1258,216,30
P1259,281,25
P1260,40,15
P1261,152,30
P1262,167,25
P1263,108,20
